,ID,ra,dec,pmRA,pmDEC,Tmag,objType,typeSrc,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,dstArcSec,EPIC,rafloat,decfloat,InvestigationIDs
113,4602722,348.8432,-11.5363,-27.03,-31.17,13.882,STAR,2mass,20180610,,,393-135144,23152236-1132106,,J231522.33-113211.0,2413396789966315136,7402941,,tmgaia,2.0,2.0,sblink,,,,62.918449,-62.586934,345.227249,-6.204256,17.906,,16.47,0.2,,,,,,,,,,,12.414,0.022,11.793,0.024,11.544,0.024,AAA-222-111-000-0-0,54.2,11.431,0.023,11.315,0.021,11.155,0.166,8.313,,14.9573,0.00149805,0.051,cdwrf,cdwrf,3420.0,79.0,4.9031,0.42085,,,0.346,0.062,0.349,0.077,8.42553,4.52933,DWARF,0.014755412,0.005288067,191.672592,,0.0329996,,11.0,3.803256e-05,,,0.000603783759,0.11847468751125234,245933625.0,348.84317000000004,-11.536285000000001,GO19063_LC|GO19067_LC|GO19068_LC
114,4582614,348.597375,-11.53259,-1.11897,-18.7129,12.818,STAR,2mass,20180610,,,393-135108,23142337-1131573,,J231423.37-113157.4,2413445752593333376,7402391,,tmgaia,2.24053,2.24052,hsoy,,,,62.603714,-62.394854,345.005881,-6.106341,14.472,0.048,13.815,0.172,,,,,,,,,,,12.078,0.024,11.555,0.023,11.514,0.023,AAA-222-111-000-0-0,32.9,11.465,0.023,11.506,0.022,11.156,0.183,8.923,,13.367,0.00066215,0.018,gaiaj,,4832.0,178.0,,,,,,,,,,,DWARF,,,,,0.0339074,,,,,,,0.08395341627750914,245933701.0,348.59738,-11.532567,GO19049_LC|GO19067_LC|GO19068_LC
115,4579963,348.430411,-11.532162,2.9228,-36.679,14.65,STAR,2mass,20180610,,,393-135099,23134329-1131557,,J231343.30-113156.3,2413443587929902592,7402027,,tmgaia,2.24054,2.24053,hsoy,,,,62.388485,-62.265342,344.854701,-6.041816,17.02,0.059,15.893,1.133,,,,,,,,,,,13.716,0.025,13.092,0.029,12.941,0.034,AAA-222-111-000-0-0,51.9,12.921,0.024,12.946,0.03,12.45,,8.38,,15.336,0.00185695,0.018,gaiaj,,4308.0,173.0,,,,,,,,,,,DWARF,,,462.377,,0.0368,,19.0,0.000249334524,,,,0.15560371895966965,245933705.0,348.43045,-11.532182,GO19067_LC|GO19068_LC
116,4582618,348.5935,-11.5223,42.34,-3.18,16.672,STAR,2mass,20180610,,,,23142243-1131203,,J231422.47-113120.3,2413445855672636928,,,tmgaia,2.0,2.0,sblink,,,,62.616206,-62.385538,345.006427,-6.095386,21.065,0.165,19.71,0.2,,,,,,,,,,,14.877,0.041,14.3,0.046,14.081,0.066,AAA-222-111-000-0-0,30.6,13.951,0.028,13.789,0.041,12.04,,8.818,0.465,17.7115,0.00974252,0.068,cdwrf,cdwrf,3098.0,105.0,5.07041,0.573325,,,0.198,0.047,0.168,0.054,21.6428,15.4123,DWARF,0.00325349951,0.00154459069,,,,,23.0,0.6688131,,,0.0001125107,0.10131810069694254,245933888.0,348.59348,-11.52232,GO19063_LC
117,4582619,348.676947,-11.519,11.1199,-7.44523,15.234,STAR,2mass,20180610,,,393-135122,23144246-1131083,,J231442.47-113108.6,2413399126428457344,7402576,,tmgaia,2.23608,2.23607,hsoy,,,,62.730401,-62.447992,345.083373,-6.124419,16.694,0.034,16.046,1.133,,,,,,,,,,,14.57,0.032,14.224,0.046,14.026,0.063,AAA-222-111-000-0-0,25.9,14.024,0.027,13.956,0.042,12.311,,8.711,,15.7261,0.00234559,0.02,gaiaj,,5111.0,182.0,,,,,,,,,,,DWARF,,,,,,,,,,,,0.16950424198865088,245933970.0,348.6769,-11.518989999999999,GO19067_LC|GO19068_LC
118,4602728,348.895665,-11.511807,29.557,-4.28285,15.325,STAR,2mass,20180610,,,393-135147,23153495-1130425,,J231534.97-113042.6,2413420360746845440,7403045,,tmgaia,2.22121,2.22116,hsoy,,,,63.029315,-62.612221,345.28448,-6.201912,17.977,-0.18,16.452,1.133,,,,,,,,,,,14.337,0.03,13.773,0.044,13.672,0.045,AAA-222-111-000-0-0,42.5,13.643,0.026,13.636,0.035,12.348,,8.443,,16.0482,0.00287549,0.02,gaiaj,,4432.0,174.0,,,,,,,,,,,DWARF,,,,,,,,,,,,0.1254666116024592,245934118.0,348.8957,-11.511813,GO19067_LC|GO19068_LC
119,4602538,348.800466,-11.509492,23.0379,-21.0405,14.86,STAR,2mass,20180610,,,393-135135,23151210-1130341,,J231512.12-113034.5,2413400019781656064,7402831,,tmgaia,2.24053,2.24052,hsoy,,,,62.908129,-62.537443,345.199095,-6.163164,17.304,0.063,15.962,0.013,,,,,,,,,,,13.904,0.031,13.29,0.033,13.242,0.038,AAA-222-111-000-0-0,52.2,13.071,0.024,13.121,0.031,12.03,,8.377,,15.5619,0.00212247,0.02,gaiaj,,4478.0,175.0,,,,,,,,,,,DWARF,,,528.951,,0.0333,,16.0,0.00315841171,,,,0.07371098007084291,245934168.0,348.80048,-11.509507000000001,GO19067_LC|GO19068_LC
120,4582445,348.4938,-11.5062,-62.96,-64.46,15.987,STAR,2mass,20180610,,,,23135852-1130221,,J231358.46-113022.8,,,,2mass,2.0,2.0,sblink,,,,62.51441,-62.298529,344.922395,-6.042274,20.873,0.162,18.5,0.2,,,,,,,,,,,14.331,0.028,13.777,0.033,13.481,0.037,AAA-222-111-000-0-0,20.7,13.307,0.025,13.14,0.034,11.639,0.287,7.872,0.21,,,0.061,cdwrf,cdwrf,3279.0,102.0,4.97491,0.52456,,,0.276,0.061,0.262,0.074,12.4616,8.26259,DWARF,0.007933751,0.00350694777,340.64566,,,,18.0,0.07078831,,,0.0001281953,0.31606422559635156,245934227.0,348.49387,-11.506145,GO19063_LC|GO19067_LC
121,4582444,348.488085,-11.50517,,,16.568,STAR,2mass,20180610,,,,23135714-1130186,,J231357.14-113018.7,2413441182749910144,7402133,,tmgaia,,,,,,,62.508773,-62.293474,344.917621,-6.039131,16.662,-0.057,15.879,0.008,,,,,,,,,,,14.917,0.081,14.077,0.077,13.232,0.063,AAA-222-111-000-1-0,20.7,11.656,0.022,10.804,0.021,7.878,0.02,5.706,0.055,17.7087,0.00972038,0.035,gaiaj,,4535.0,175.0,,,,,,,,,,,,,,,,,,,,,,,0.05291986033371485,245934248.0,348.4881,-11.50517,GO19059_LC|GO19067_LC
122,4582442,348.52301,-11.496232,-8.51339,-17.2071,14.937,STAR,2mass,20180610,,,393-135101,23140552-1129464,,J231405.51-112946.5,2413447023903746176,7402216,,tmgaia,2.24053,2.24053,hsoy,,,,62.569139,-62.315015,344.952805,-6.044323,18.183,0.162,16.407,0.332,,,,,,,,,,,13.819,0.028,13.131,0.032,12.972,0.038,AAA-222-111-000-0-0,61.7,12.811,0.023,12.791,0.028,11.846,0.292,8.598,,15.7496,0.00237989,0.019,gaiaj,,4001.0,170.0,,,,,,,,,,,DWARF,,,,,,,,,,,,0.1167610677215673,245934421.0,348.52304,-11.496217999999999,GO19067_LC|GO19068_LC
